,task,step,participant_id,created_at,acceptable,reasoning,take,fpv_filepath,fpv_circle_filepath,fpv_attention_filepath,tpv_filepath,instructions,question,correct_answer,gemini_answer,gemini_acceptable,ablation_setting,qa_id
75,Elastische Stoffe (Richtig),Vernähen,0,2024-06-17T22:21:24.173118+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vernaehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Ein Mal bis zum Ende vorwärts nähen, um die Naht zu sichern.

",Wie sichere ich die Naht?,Ein mal bis zum Ende vorwärts nähen.,"Um die Naht zu sichern, wird einmal bis zum Ende vorwärts genäht. 
",1,reference model,154
76,Geradeausstich,Abschluss,0,2024-06-14T16:06:05.583065+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

","Was ist zu tun, wenn der Stoff sich nicht nach links ziehen lässt?","Das Handrad wird gedreht, um die Spannung zu lösen.","Um den Stoff nach links wegzuziehen, das Handrad drehen, um die Spannung zu lösen. 
",1,reference model,23
77,Aufspulen,Beendigung des Spulvorgangs,0,2024-06-14T15:55:43.969590+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Beendigung des Spulvorgangs-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Beendigung des Spulvorgangs-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Beendigung des Spulvorgangs-take-0.mp4,tpv_out/participant-0-Aufspulen-Beendigung des Spulvorgangs-take-0.mp4,"
    - Den Füllstand der Unterspule kontinuierlich überwachen und den Vorgang beenden, bevor der Faden über den Spulenrand hinausragt.
    - Nach Beendigung des Spulvorgangs, den Spulenwickelstift der Unterspule nach links in die Ausgangsposition schieben.

",Was ist beim Aufspulen zu beachten?,Der Füllstand der Unterspule muss kontinuierlich überwacht werden.,"Um ein Überlaufen der Spule zu verhindern, sollte der Füllstand der Spule beim Aufspulen beobachtet und der Vorgang beendet werden, sobald der Faden über den Spulenrand hinausragt. 
",1,reference model,11
78,Einfädeln Unterspule,Schließen der Spulenabdeckung,0,2024-06-14T16:08:20.854083+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Unterspule-Schliessen der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Schliessen der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Schliessen der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Schliessen der Spulenabdeckung-take-0.mp4,"
    - Die Spulenabdeckung schließen.
    - Die korrekte Durchführung des Fadens aus dem Spulenkorb heraus beachten.

",Was ist beim Schließen der Spulenabdeckung zu beachten?,Beim Schließen der Spulenabdeckung ist die korrekte Fadenführung aus dem Spulenkorb heraus zu beachten.,"Beim Schließen der Spulenabdeckung ist darauf zu achten, dass der Faden korrekt aus dem Spulenkorb herausgeführt wird. 
",1,reference model,26
79,Elastische Stoffe (Richtig),Nähen,0,2024-06-14T16:04:46.432362+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Wie beginne ich elastische Stoffe?,"Durch Betätigen des Fußpedals mit dem Nähen beginnen ohne Vernähen des Nahtbeginns.
Die Naht bis zum gewünschten Ende vorwärts nähen.","Um mit dem Nähen elastischer Stoffe zu beginnen, betätigen Sie das Fußpedal. 
",1,reference model,21
80,Elastische Stoffe (Richtig),Vorbereitung (1),0,2024-06-14T16:36:52.420416+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

","Welche Vorrichtung muss ich benutzen, um die Nadel manuell in den Stoff zu stechen?",Ich drehe das Handrad in Nutzerrichtung.,"Um die Nadel manuell in den Stoff zu stechen wird das Handrad benutzt. 
",1,reference model,33
81,Geradeausstich,Nähen,0,2024-06-17T17:29:55.472183+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Naehen-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Naehen-take-0.mp4,tpv_out/participant-0-Geradeausstich-Naehen-take-0.mp4,"
    - Durch Drücken des Fußpedals mit dem Nähen beginnen; nur ein kurzes Stück vorwärts nähen und dann anhalten.
    - Den Rückwärtsnähen-Knopf oder Hebel betätigen.
    - Durch Drücken des Fußpedals bis zum Nahtbeginn nach hinten nähen, um den Nahtanfang durch Vernähen zu sichern.
    - Nach dem Vernähen den Rückwärtsnähen-Knopf oder Hebel erneut betätigen und die Naht bis zum gewünschten Ende vorwärts nähen.
    - Zum Abschluss der Naht, den Rückwärtsnähen-Knopf oder Hebel erneut nutzen, um das Nahtende zu sichern.

",Wie wechselt man zwischen dem Vorwärts- und Rückwärtsnähen?,Durch die Betätigung eines Knopfes oder Hebels an der Nähmaschine.,"Um zwischen dem Vorwärts- und Rückwärtsnähen zu wechseln, betätigen Sie den Rückwärtsnähen-Knopf oder -Hebel. 
",1,reference model,78
82,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-14T19:33:10.037027+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Womit wird die Spulenabdeckung entriegelt?,Mithilfe des entsprechenenden Hebels.,"Um die Spulenabdeckung zu entriegeln, wird der entsprechende Hebel betätigt. 
",1,reference model,74
83,Einfädeln Oberspule,Abschluss des Einfädelns,0,2024-06-17T20:24:13.568360+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,"- Den Oberfaden in der linken Hand festhalten, gleichzeitig mit der rechten Hand das Handrad eine volle Umdrehung in Richtung des Nutzers drehen, um den Unterfaden nach oben zu holen.
    - Mit einem flachen Werkzeug (z.B. Schere) von rechts nach links unter dem Nähfuß durchfahren, sodass Ober- und Unterfaden unter dem Nähfuß liegen.
    - Länge von Ober- und Unterfaden mit Schere auf ca. 15 cm angleichen.
    - Beide Fäden nach hinten unter dem Nähfuß durchführen.",Wie wird der Faden richtig eingefädelt?,Den Faden mit der einen Hand festhalten und dann das Rad eine volle Umdrehung drehen. Mit einer Schere die Länge des Ober und Unterfadens angleichen.,"Um den Ober- und Unterfaden miteinander zu verbinden, halte den Oberfaden in der linken Hand und drehe das Handrad einmal in Richtung des Benutzers. Führe anschließend mit einem flachen Werkzeug unter dem Nähfuß entlang, um den Unterfaden nach oben zu holen. Ziehe Ober- und Unterfaden etwa 15 cm unter dem Nähfuß hervor.",0,reference model,97
84,Elastische Stoffe (Falsch),Nähen,0,2024-06-14T16:52:23.172628+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Wird auf das Vernähen des Nahtbeginns verzichtet,Auf das Vernähen des Nahtbeginns wird verzichtet.,"Um elastische Stoffe zu nähen, wird auf das Vernähen des Nahtbeginns verzichtet. 
",1,reference model,40
85,Elastische Stoffe (Falsch),Nähen,0,2024-06-17T21:08:15.957838+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Wie beginnt man mit dem Nähen?,Das Fußpedal muss betätigt werden.,"Um mit dem Nähen zu beginnen, betätigen Sie das Fußpedal. 
",1,reference model,120
86,Elastische Stoffe (Falsch),Nähen,0,2024-06-17T21:08:15.957838+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Wie beginnt man mit dem Nähen?,Das Fußpedal muss betätigt werden.,"Um mit dem Nähen zu beginnen, betätigen Sie das Fußpedal. 
",1,reference model,120
87,Aufspulen,Vorbereitung der Spulen,0,2024-06-14T17:08:13.633925+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,tpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,"
    - 
        Oberspule (Quelle):
        
            - Die Oberspule auf dem dafür vorgesehenen Spulenstift platzieren.
            - Einen geeigneten Spulenhalter auf dem Stift befestigen, um zu verhindern, dass die Oberspule während des Aufspulens wackelt.
            - Größe des Stoppers anhand des Durchmessers der Oberspule wählen.
        
    
    - 
        Unterspule (Ziel):
        
            - Die leere Unterspule auf den Spulenwickelstift setzen.
        
    

",Wie wird die leere Unterspule für das Aufspulen vorbereitet?,Die leere Unterspule wird auf den Spulenwikelstift gesetzt.,"Um die leere Unterspule für das Aufspulen vorzubereiten, muss sie auf den Spulenwickelstift gesetzt werden. 
",1,reference model,51
88,Elastische Stoffe (Richtig),Vorbereitung (1),0,2024-06-14T16:34:53.020567+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Wie senke ich den Nähfuß ab?,Den Nähfuß senke ich ich mit Hilfe des Nähfußhebels ab.,"Um den Nähfuß abzusenken, wird der Nähfußhebel mithilfe der Hand betätigt. 
",1,reference model,32
89,Versäubern,Versäubern,0,2024-06-14T19:17:10.943406+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Versaeubern-Versaeubern-take-0.mp4,fpv_circle_out/participant-0-Versaeubern-Versaeubern-take-0.mp4,fpv_attention_out/participant-0-Versaeubern-Versaeubern-take-0.mp4,tpv_out/participant-0-Versaeubern-Versaeubern-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Probe-Stoffstück so unter dem Nähfuß platzieren, dass die Nadel beim Nähen einmal in den Stoff und einmal knapp daneben sticht.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.
    - Durch Drücken des Fußpedals mit dem Nähen beginnen.
    - Beim Führen des Stoffs sicherstellen, dass die Nadel in der gewünschten Wechselposition zwischen Stoff und Kantenrand sticht.

",Wie sollte man das Probe-Stoffstück unter dem Nähfuß platzieren?,"So, dass die Nadedel beim Nähen einmal in den Stoff und einmal knapp daneben sticht","Um das Probe-Stoffstück zu platzieren, sollte der Stoff so unter dem Nähfuß liegen, dass die Nadel beim Nähen einmal in den Stoff und einmal knapp daneben sticht. 
",1,reference model,64
90,Elastische Stoffe (Richtig),Abschluss (1),0,2024-06-17T17:41:10.395215+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.


$\rightarrow$ Der Zickzack-Stich erlaubt Dehnung des elastischen Stoffes und verhindert Reißen der Naht.
",Wie sollten die überschüssigen Fäden des Werkstückes entfernt werden?,Durch Verwendung des integrierten Fadenschneiders der Nähmaschine.,"Um die überschüssigen Fäden zu entfernen, sind die Fäden mit dem integrierten Fadenschneider der Maschine abzuschneiden. 
",1,reference model,84
91,Elastische Stoffe (Falsch),Abschluss (2),0,2024-06-14T17:12:27.462549+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Abschluss (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Abschluss (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Abschluss (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Abschluss (2)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.


$\rightarrow$ Naht zeigt Wellen und reißt, wenn der elastische Stoff gedehnt wird.
","Was sollte getan werden, wenn der Stoff beim Wegziehen spannt?","Das Handrad sollte gedreht werden, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.","Um die Spannung beim Wegziehen des Stoffes zu lösen, sollte das Handrad gedreht werden. 
",1,reference model,55
92,Einfädeln Oberspule,Abschluss des Einfädelns,0,2024-06-17T20:25:52.055250+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,"- Den Oberfaden in der linken Hand festhalten, gleichzeitig mit der rechten Hand das Handrad eine volle Umdrehung in Richtung des Nutzers drehen, um den Unterfaden nach oben zu holen.
    - Mit einem flachen Werkzeug (z.B. Schere) von rechts nach links unter dem Nähfuß durchfahren, sodass Ober- und Unterfaden unter dem Nähfuß liegen.
    - Länge von Ober- und Unterfaden mit Schere auf ca. 15 cm angleichen.
    - Beide Fäden nach hinten unter dem Nähfuß durchführen.",Wie kann ich den Faden richtig in die Nähmaschine einführen?,Den Oberfaden festhalten und dabei das Handrag in die Richtung des Nutzers drehen. Dadurch wird der Unterfaden nach oben geholt. Mit einer Schere den Ober und Unterfaden auf 15 cm angleichen und danach beide Fäden nach hinten ziehen.,"Um den Faden in die Nähmaschine einzuführen, folge den Schritten in der Bedienungsanleitung zum Einfädeln der Oberspule und führe den Unterfaden nach oben. 
",0,reference model,98
93,Elastische Stoffe (Falsch),Abschluss (1),0,2024-06-14T16:02:02.730215+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Abschluss (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Abschluss (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Abschluss (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Abschluss (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

\newpage
",Wie erleichtere ich das Wegziehen des Stoffstücks wenn zuviel Spannung darauf ist?,"Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.","Um das Wegziehen des Stoffstücks zu erleichtern, drehen Sie das Handrad, um die Spannung zu lösen. 
",1,reference model,18
94,Geradeausstich,Abschluss,0,2024-06-17T22:06:10.421865+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",Was muss ich tun wenn der Stoff spannt?,Am Handrad drehen.,"Um die Spannung zu lösen, drehe das Handrad, um den Stoff leichter wegziehen zu können. 
",1,reference model,144
95,Geradeausstich,Maschineneinstellungen,0,2024-06-17T21:37:39.590959+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Maschineneinstellungen-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Maschineneinstellungen-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Maschineneinstellungen-take-0.mp4,tpv_out/participant-0-Geradeausstich-Maschineneinstellungen-take-0.mp4,"- Die Stichlänge am Stichlängeneinstellrad je nach Stoff auf 3 bis 2,5 mm einstellen.
    - Die Stichart mithilfe des Stichauswahlrads auf Geradeaus-Stich setzen.
    - Die Stichbreite für den Geradeaus-Stich am Stichbreiteneinstellrad auf 0 mm setzen.
    - Die Nadelposition am Nadelpositionierungseinstellrad mittig über dem Nähfuß einstellen.
    - Die Fadenspannung am Fadenspannungseinstellrad in der Regel unverändert lassen; lediglich als letzte Maßnahme bei schlechter Stichqualität Korrektur vornehmen.",Wann sollte man die Fadenspannung am Fadenspannungseinstellrad verändern?,Lediglich wenn man ohne Korrektur eine schlechte Stichqualität feststellt.,"Um die Stichqualität zu verbessern, sollte die Fadenspannung am Fadenspannungseinstellrad angepasst werden. 
",0,reference model,132
96,Geradeausstich,Vorbereitung,0,2024-06-17T17:32:02.497884+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Warum muss vor dem Beginn des Nähens der Nähfuß angehoben werden?,Damit sich das Stoffstück problemlos unter den Nähfuß schieben lässt.,"Um den Stoff unter der Nadel zu platzieren, muss der Nähfuß angehoben werden. 
",1,reference model,79
97,Elastische Stoffe (Richtig),Abschluss (2),0,2024-06-14T15:42:09.053625+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (2)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",Wie beendet man das Naehen von elastischen Stoffen?,"Den Nähfuß mit dem Nähfußhebel anheben, dann das Stoffstück zur linken Seite wegziehen.
Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
Dann die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.","Um das Nähen von elastischen Stoffen zu beenden, den Nähfuß anheben, den Stoff nach links ziehen und die Fäden mit dem Fadenschneider abschneiden. 
",1,reference model,1
98,Elastische Stoffe (Richtig),Abschluss (2),0,2024-06-14T15:42:09.053625+00:00,,['KNOWLEDGE'],1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Abschluss (2)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",Wie beendet man das Naehen von elastischen Stoffen?,"Den Nähfuß mit dem Nähfußhebel anheben, dann das Stoffstück zur linken Seite wegziehen.
Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
Dann die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.","Um das Nähen von elastischen Stoffen zu beenden, den Nähfuß anheben, den Stoff nach links ziehen und die Fäden mit dem Fadenschneider abschneiden. 
",1,reference model,1
99,Aufspulen,Vorbereitung der Spulen,0,2024-06-14T17:08:13.633925+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,tpv_out/participant-0-Aufspulen-Vorbereitung der Spulen-take-0.mp4,"
    - 
        Oberspule (Quelle):
        
            - Die Oberspule auf dem dafür vorgesehenen Spulenstift platzieren.
            - Einen geeigneten Spulenhalter auf dem Stift befestigen, um zu verhindern, dass die Oberspule während des Aufspulens wackelt.
            - Größe des Stoppers anhand des Durchmessers der Oberspule wählen.
        
    
    - 
        Unterspule (Ziel):
        
            - Die leere Unterspule auf den Spulenwickelstift setzen.
        
    

",Wie wird die leere Unterspule für das Aufspulen vorbereitet?,Die leere Unterspule wird auf den Spulenwikelstift gesetzt.,"Um die leere Unterspule für das Aufspulen vorzubereiten, wird diese auf den Spulenwickelstift gesetzt. 
",1,reference model,51
100,Aufspulen,Fadenführung,0,2024-06-14T16:39:57.626690+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Fadenfuehrung-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Fadenfuehrung-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Fadenfuehrung-take-0.mp4,tpv_out/participant-0-Aufspulen-Fadenfuehrung-take-0.mp4,"
    - Den Faden entsprechend den auf der Nähmaschine angegebenen Markierungen oder Anleitungen führen.
    - Den Faden von der Oberspule ausgehend über die markierten Punkte oder Zahlen bis zur Unterspule leiten.

",Wie führe ich den Faden?,Entsprechend den auf der Nähmaschine angegebenen Markierungen oder Anleitungen.,"Um den Faden zu führen, folge den Markierungen oder Anleitungen an der Nähmaschine. 
",1,reference model,34
101,Aufspulen,Fadenentfernung,0,2024-06-14T19:26:41.776498+00:00,,['KNOWLEDGE'],0,fpv_out/participant-0-Aufspulen-Fadenentfernung-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Fadenentfernung-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Fadenentfernung-take-0.mp4,tpv_out/participant-0-Aufspulen-Fadenentfernung-take-0.mp4,"
    - Eventuell vorhandene Reste des alten Fadens von der Unterspule entfernen.

",Was wird mit den entfernten Resten von der Unterspule gemacht?,Man kann sie entsorgen.,"Die entfernten Fadenreste werden entsorgt. 
",1,reference model,68
